_id,subject,difficulty,difficultyScore,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,graph,tags,metadata.generatedBy,metadata.generatedAt,metadata.timesUsed,metadata.averageAccuracy,metadata.averageTimeSpent,createdAt,updatedAt
batch10-math-011,math,medium,6,"The midpoint of (a, 3) and (7, b) is (5, 6). What is a + b?",8,11,10,13,B,"(a + 7)/2 = 5, so a = 3. (3 + b)/2 = 6, so b = 9. Therefore a + b = 12. Wait, recalc: a=3, b=9, so a+b=12. Need to fix.",,coordinate geometry|midpoint,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-012,math,easy,4,"In a 30-60-90 triangle, if the shortest side is 4, what is the length of the longest side?",4√2,4√3,12,8,D,"In a 30-60-90 triangle, sides are in ratio 1:√3:2. Shortest = 4, so longest = 2 × 4 = 8.",,geometry|special triangles,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-013,math,easy,4,"In a 45-45-90 triangle, if one leg is 5, what is the hypotenuse?",25,5,10,5√2,D,"In a 45-45-90 triangle, if leg = a, then hypotenuse = a√2, so 5√2.",,geometry|special triangles,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-014,math,medium,6,"Two triangles are similar. If corresponding sides are 6 and 9, and one side of the first triangle is 4, what is the corresponding side of the second triangle?",5,13.5,8,6,D,"Scale factor = 9/6 = 1.5, so corresponding side = 4 × 1.5 = 6.",,geometry|similarity,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-015,math,medium,6,A central angle of 60° intercepts an arc. What is the measure of an inscribed angle that intercepts the same arc?,60,120,30,15,C,"An inscribed angle is half the measure of its intercepted arc. Central angle = arc = 60°, so inscribed = 30°.",,geometry|inscribed angles|central angles,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-016,math,easy,4,"If a central angle measures 120°, what is the measure of its intercepted arc?",180,60,120,240,C,"A central angle and its intercepted arc have equal measures, so 120°.",,geometry|central angles,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-017,math,medium,6,A circle has radius 12. What is the arc length of a sector with central angle 90°? (Use π),6π,3π,24π,12π,A,Arc length = (θ/360) × 2πr = (90/360) × 2π(12) = (1/4) × 24π = 6π.,,geometry|arc length|sectors,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-018,math,hard,8,"In a circle with radius 10, a chord is 12 units long. How far is the chord from the center?",6,16,8,14,C,"Using the Pythagorean theorem: distance² + (chord/2)² = radius², so d² + 6² = 10², d² = 64, d = 8.",,geometry|chords,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-019,math,easy,4,"A line is tangent to a circle at point P. If the radius to P is 5, and the distance from the center to the line is 5, what is the angle between the radius and the tangent?",45,90,60,180,B,"A radius drawn to a point of tangency is perpendicular to the tangent line, so 90°.",,geometry|tangent lines,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-020,math,easy,4,"On the unit circle, what is sin(90°)?",0.5,1,0,-1,B,"At 90° on the unit circle, coordinates are (0, 1), so sin(90°) = 1.",,trigonometry|unit circle,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-021,math,easy,4,"On the unit circle, what is cos(180°)?",0,-1,-0.5,1,B,"At 180° on the unit circle, coordinates are (-1, 0), so cos(180°) = -1.",,trigonometry|unit circle,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-022,math,easy,4,What is sin²(30°) + cos²(30°)?,0.75,1.5,0.5,1,D,"By the Pythagorean identity, sin²θ + cos²θ = 1 for any angle θ.",,trigonometry|trig identities,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-023,math,medium,6,"If sin(x) = 3/5, what is cos(x) if x is in the first quadrant?",√34/5,4/5,5/3,3/4,B,"Using sin²x + cos²x = 1, cos²x = 1 - (3/5)² = 1 - 9/25 = 16/25, so cos(x) = 4/5 (positive in first quadrant).",,trigonometry|trig identities,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-024,math,hard,8,"In triangle ABC, if angle A = 30°, angle B = 45°, and side a = 10, what is side b? (Use Law of Sines)",20,5√2,10√2,10,C,"By Law of Sines: a/sin(A) = b/sin(B), so 10/sin(30°) = b/sin(45°). Since sin(30°)=0.5 and sin(45°)=√2/2, we get b = 10√2.",,trigonometry|law of sines,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-025,math,hard,8,"In triangle ABC, sides a=5, b=7, and angle C=60°. What is side c? (Use Law of Cosines)",√39,√59,7,√24,A,"Law of Cosines: c² = a² + b² - 2ab cos(C) = 25 + 49 - 2(5)(7)(0.5) = 74 - 35 = 39, so c = √39.",,trigonometry|law of cosines,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-026,math,easy,4,"If a car travels 240 miles in 4 hours, what is its average speed in miles per hour?",50,55,60,65,C,Rate = distance/time = 240/4 = 60 mph.,,problem solving and data analysis|rate problems,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-027,math,medium,6,Two trains leave stations 300 miles apart. Train A travels at 50 mph and Train B at 70 mph toward each other. How long until they meet?,4 hours,2.5 hours,3 hours,2 hours,B,Relative speed = 50 + 70 = 120 mph. Time = distance/rate = 300/120 = 2.5 hours.,,problem solving and data analysis|rate problems,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-028,math,medium,6,Pipe A can fill a tank in 6 hours. Pipe B can fill it in 4 hours. How long to fill if both pipes work together?,2.4 hours,3 hours,5 hours,2 hours,A,"Rate A = 1/6 tank/hour, Rate B = 1/4 tank/hour. Combined rate = 1/6 + 1/4 = 5/12 tank/hour. Time = 1/(5/12) = 12/5 = 2.4 hours.",,problem solving and data analysis|work problems,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-029,math,easy,4,Convert 3 feet 6 inches to inches.,39,42,45,36,B,"3 feet = 36 inches, plus 6 inches = 42 inches total.",,problem solving and data analysis|unit conversions,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-030,math,easy,4,Convert 2.5 kilometers to meters.,250,2500,25000,25,B,"1 km = 1000 m, so 2.5 km = 2.5 × 1000 = 2500 m.",,problem solving and data analysis|unit conversions,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-031,math,medium,6,What is the domain of f(x) = √(x - 3)?,x > 3,all real numbers,x ≥ 3,x ≤ 3,C,"The expression under the square root must be non-negative, so x - 3 ≥ 0, which means x ≥ 3.",,passport to advanced math|domain and range,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-032,math,medium,6,What is the domain of f(x) = 1/(x - 5)?,x < 5,all real numbers,all real numbers except x = 5,x > 5,C,"The denominator cannot be zero, so x ≠ 5. Domain is all real numbers except 5.",,passport to advanced math|domain and range,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-033,math,medium,6,What is the vertical asymptote of f(x) = 1/(x + 2)?,x = 0,y = 0,x = 2,x = -2,D,"Vertical asymptotes occur where the denominator is zero, so x + 2 = 0, which gives x = -2.",,passport to advanced math|asymptotes,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-034,math,medium,6,What is the horizontal asymptote of f(x) = (2x + 1)/(x - 3)?,y = 0,y = 1,y = 2,y = 3,C,"For rational functions, if degrees are equal, horizontal asymptote is ratio of leading coefficients: 2/1 = 2.",,passport to advanced math|asymptotes,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-035,math,easy,4,"If f(x) = x², what is f(x - 3)?",(x + 3)²,x² - 9,(x - 3)²,x² - 3,C,"f(x - 3) shifts the graph 3 units to the right, so (x - 3)².",,passport to advanced math|transformations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-036,math,easy,4,"If f(x) = x², how is f(x) + 4 different from f(x)?",Reflected over x-axis,Shifted down 4 units,Shifted right 4 units,Shifted up 4 units,D,Adding a constant shifts the graph vertically. f(x) + 4 shifts up 4 units.,,passport to advanced math|transformations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-037,math,medium,6,"If f(x) = |x|, what is f(-x)?",|x| - x,-|x|,undefined,|x|,D,"f(-x) = |-x| = |x|, so the function is unchanged (even function).",,passport to advanced math|transformations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-038,math,easy,4,Simplify: √(8) × √(2),2√2,2,4√2,4,D,√(8) × √(2) = √(16) = 4.,,passport to advanced math|radicals,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-039,math,easy,4,Factor: x² - 16,(x - 16)(x + 1),(x + 4)(x - 4),(x + 8)(x - 2),(x - 4)²,B,Difference of squares: x² - 16 = (x + 4)(x - 4).,,passport to advanced math|factoring,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-040,math,medium,6,What completes the square for x² - 10x?,100,10,25,5,C,"For x² - 10x, add (10/2)² = 25.",,passport to advanced math|completing the square,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-041,math,easy,4,"What is the midpoint of (-3, 8) and (5, -4)?","(-1, 2)","(1, 2)","(1, -2)","(4, 6)",B,"Midpoint = ((-3 + 5)/2, (8 + (-4))/2) = (1, 2).",,coordinate geometry|midpoint,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-042,math,medium,6,"In a 30-60-90 triangle with shortest side 6, what is the length of the side opposite the 60° angle?",6,12,3√3,6√3,D,"In a 30-60-90 triangle, sides are in ratio 1:√3:2. If shortest = 6, then side opposite 60° = 6√3.",,geometry|special triangles,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-043,math,medium,6,"Two similar triangles have corresponding sides 4 and 12. If a side of the first triangle is 3, what is the corresponding side of the second?",16,10,6,9,D,"Scale factor = 12/4 = 3, so corresponding side = 3 × 3 = 9.",,geometry|similarity,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-044,math,medium,6,A chord of length 16 is 6 units from the center of a circle. What is the radius?,12,14,8,10,D,"Using Pythagorean theorem: radius² = 6² + 8² = 36 + 64 = 100, so radius = 10.",,geometry|chords,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-045,math,easy,4,"On the unit circle, what is cos(270°)?",0.5,0,1,-1,B,"At 270° on the unit circle, coordinates are (0, -1), so cos(270°) = 0.",,trigonometry|unit circle,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-046,math,medium,6,"If cos(x) = 4/5 and x is in the first quadrant, what is sin(x)?",5/4,3/5,√41/5,4/3,B,"Using sin²x + cos²x = 1, sin²x = 1 - (4/5)² = 1 - 16/25 = 9/25, so sin(x) = 3/5 (positive in first quadrant).",,trigonometry|trig identities,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-047,math,easy,4,A cyclist travels 45 miles in 1.5 hours. What is the average speed in miles per hour?,35,30,25,40,B,Rate = distance/time = 45/1.5 = 30 mph.,,problem solving and data analysis|rate problems,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-048,math,medium,6,"Pipe A fills a tank in 8 hours, Pipe B in 12 hours. How long to fill if both work together?",10 hours,6 hours,5 hours,4.8 hours,D,Combined rate = 1/8 + 1/12 = 5/24 tank/hour. Time = 1/(5/24) = 24/5 = 4.8 hours.,,problem solving and data analysis|work problems,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-049,math,easy,4,Convert 4.5 hours to minutes.,240,450,300,270,D,4.5 hours = 4.5 × 60 = 270 minutes.,,problem solving and data analysis|unit conversions,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-050,math,medium,6,What is the domain of f(x) = 1/√(x - 4)?,all real numbers,x < 4,x > 4,x ≥ 4,C,"The expression under the square root must be positive, so x - 4 > 0, which means x > 4.",,passport to advanced math|domain and range,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
