_id,subject,difficulty,difficultyScore,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,graph,tags,metadata.generatedBy,metadata.generatedAt,metadata.timesUsed,metadata.averageAccuracy,metadata.averageTimeSpent,createdAt,updatedAt
batch09-math-017,math,medium,6,"What is the distance between (-4, 5) and (6, -3)?",13.81,-12.81,12.81,11.81,C,Apply the distance formula.,,coordinate geometry|distance,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-reading-018,reading,easy,4,"""The renovated observatory now houses a digital telescope, where students track asteroids and measure light from distant galaxies."" What is the main focus?",Students use the observatory for astronomical research.,The observatory was destroyed last year.,Students dislike the new equipment.,Asteroids are no longer studied.,A,The passage describes student research activities.,,reading|information and ideas|main idea,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-reading-019,reading,easy,4,"""When the director extended library hours, night-shift workers celebrated, recalling how early closures had forced them to study at cafes."" What inference can be drawn?",Extended hours help workers who study late.,Workers dislike libraries.,Libraries are now closed permanently.,Cafes replaced libraries.,A,Their celebration suggests the change addresses their needs.,,reading|information and ideas|inference,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-reading-020,reading,medium,6,"""Dr. Chen describes her climate-modeling work with measured enthusiasm, noting that each simulation reveals both patterns and surprises."" Which term best describes Dr. Chen's tone?",Balanced,Dismissive,Melancholic,Indifferent,A,Her measured approach shows balance.,,reading|craft and structure|tone,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-reading-021,reading,medium,6,"""Because ancient pollen grains preserve in lake sediments, paleobotanists extract cores to reconstruct past vegetation."" What is the purpose of the sentence?",To explain how scientists study historical plant life.,To warn about lake pollution.,To describe modern diets.,To compare lakes to oceans.,A,It explains the research methodology.,,reading|information and ideas|purpose,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-reading-022,reading,medium,6,"""Though the archive fills only two rooms, its digitized collections span centuries of local newspapers, photographs, and oral histories."" Which word best replaces ""only"" without changing the meaning?",Merely,Extensively,Temporarily,Vaguely,A,"""Merely"" matches the sense of small scale.",,reading|craft and structure|vocabulary,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-reading-023,reading,hard,8,"""At first, Sam thought the mural's geometric patterns were purely abstract; later he recognized the shapes mapped neighborhoods affected by highway construction."" How does Sam's perspective change?",He moves from seeing abstraction to recognizing social commentary.,He decides murals are obsolete.,He insists the artist change the design.,He stops supporting public art.,A,He uncovers the deeper meaning.,,reading|information and ideas|perspective,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-reading-024,reading,medium,6,"""Weather stations logged that robins arrived two weeks earlier than typical during the mildest winter in decades."" What does the data suggest?",Warmer winters may trigger earlier migrations.,Bird migrations are random.,Cold prevents migrations entirely.,Stations caused the migration.,A,Early arrival coincided with mild weather.,,reading|information and ideas|data relationships,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-reading-025,reading,medium,6,"""Initially, the team's shared spreadsheet confused volunteers, yet it eventually answered every question about which tasks were complete."" What can be concluded?",The spreadsheet proved useful despite initial confusion.,Volunteers ignored the data.,The spreadsheet failed.,The spreadsheet was deleted.,A,It resolved questions over time.,,reading|information and ideas|function,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-reading-026,reading,medium,6,"""Instead of following recipes, Chef Lin listens for the oil's sizzle and watches vegetables soften before adding the final spices."" What does the figurative language imply?",Cooking relies on sensory observation.,The chef refuses to use spices.,The kitchen is silent.,Recipes are banned.,A,She relies on sound and visual cues.,,reading|craft and structure|figurative language,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-reading-027,reading,medium,6,"""After visiting the seed library, Jordan argued that preserving crop diversity requires restoring the farms where those varieties once grew."" Which claim does Jordan make?",Storage must be paired with farm restoration.,Seed libraries should close.,Labs alone can protect diversity.,Farms no longer matter.,A,He emphasizes restoration plus storage.,,reading|information and ideas|claims,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-reading-028,reading,easy,4,"""Coach Martinez's three-word reminder—""Breathe, focus, execute""—settled the debate team before finals."" What effect did the coach's words have?",They calmed the team.,They caused an argument.,They ended the competition.,They changed the lineup.,A,The passage says the team settled.,,reading|information and ideas|textual evidence,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-reading-029,reading,medium,6,"""During testing, Alex replaced a heavy battery with a lighter one, saving eight ounces but cutting runtime by three hours."" What trade-off occurs?",Less weight but shorter runtime.,More weight and shorter runtime.,Less weight and longer runtime.,No change in runtime.,A,Weight decreases while runtime drops.,,reading|information and ideas|cause and effect,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-writing-030,writing,easy,4,The research assistants prepares each sample before analysis. Which change corrects the sentence?,Prepares → prepare,Research → researches,Each → every,Before → after,A,"Plural subject ""assistants"" requires ""prepare.""",,writing|standard english conventions|subject-verb agreement,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-writing-031,writing,easy,4,Participants must wear safety glasses while operating the 3D printer. Choose the correct revision.,safety glasses,safety-glass,safely glasses,safety glass,A,No hyphen needed for this noun phrase.,,writing|standard english conventions|hyphenation,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-writing-032,writing,medium,6,"Because the team completed the survey early, therefore the results were analyzed ahead of schedule. Which revision is best?","Because the team completed the survey early, the results were analyzed ahead of schedule.","Because the team completed the survey early, therefore the results were analyzed.","Because the team completed the survey early, so the results were analyzed.","Because the team completed the survey early, consequently the results were analyzed.",A,Remove redundant transitions.,,writing|standard english conventions|sentence structure,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-writing-033,writing,medium,6,"The report analyzes budget data, compares department spending, and proposing cost-saving measures. Which option fixes the parallel structure?","analyzes budget data, compares spending, and proposes measures","analyze budget data, compares spending, and proposing measures","analyzes budget data, compared spending, and proposes measures","analyzing budget data, compares spending, and proposes measures",A,All verbs should share the same tense.,,writing|standard english conventions|parallelism,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-writing-034,writing,medium,6,"The committee reviewed the proposal, they also toured the demonstration site. How should the clauses be combined?","..., and they also toured ...","..., they toured ...","..., also touring ...","..., therefore they toured ...",A,Use a conjunction to avoid a comma splice.,,writing|standard english conventions|run-on corrections,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-writing-035,writing,medium,6,Maria not only designed the website but also creating the mobile app. Select the correct revision.,designed ... created,designs ... creating,designed ... creating,designing ... created,A,Both verbs should be past tense.,,writing|standard english conventions|parallelism,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-writing-036,writing,medium,6,"City Council approved the plan after residents testified, this outcome pleased many advocates. Which punctuation fixes the error?",Replace the comma with a semicolon.,Add another comma.,Replace the comma with a colon.,"Delete ""after.""",A,Use a semicolon between independent clauses.,,writing|standard english conventions|punctuation,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-writing-037,writing,easy,4,The new software is more efficient then the previous version. Choose the correct word.,then,than,there,their,B,"""Than"" indicates comparison.",,writing|standard english conventions|word choice,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-writing-038,writing,medium,6,"The coordinator sends weekly updates; including deadlines, workshops, and office hours. Which revision is correct?","..., including deadlines...",...; including deadlines...,"..., including; deadlines...","..., and including deadlines...",A,"Use a comma before ""including.""",,writing|standard english conventions|punctuation,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-writing-039,writing,medium,6,Neither the guidelines nor the policy manual mention remote work options. Which change is needed?,mention → mentions,neither → either,guidelines → guideline,options → option,A,Verb agrees with the nearer plural subject.,,writing|standard english conventions|subject-verb agreement,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-writing-040,writing,medium,6,"The selection committee values applicants who demonstrate skills, show preparation, and outline goals. Why is this sentence correct?",All verbs share the same form.,It lacks a subject.,It contains a fragment.,It misplaces modifiers.,A,Parallel verbs create clarity.,,writing|standard english conventions|parallelism,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
